backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,ic,23,2,0,IC_ERR,0.03691,0.03691,0.0,quants_1024/GPTQ/quants_tc1024_ic,54
hubertL,er,0,2,1,ER_ERR,0.342857,0.331797,-0.01106,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,1,2,1,ER_ERR,0.342857,0.3447,0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,2,2,1,ER_ERR,0.342857,0.343779,0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,3,2,1,ER_ERR,0.342857,0.341014,-0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,4,2,1,ER_ERR,0.342857,0.342857,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,5,2,1,ER_ERR,0.342857,0.335484,-0.007373,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,6,2,1,ER_ERR,0.342857,0.3447,0.001843,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,7,2,1,ER_ERR,0.342857,0.349309,0.006452,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,8,2,1,ER_ERR,0.342857,0.342857,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,9,2,1,ER_ERR,0.342857,0.35023,0.007373,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,10,2,1,ER_ERR,0.342857,0.332719,-0.010138,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,11,2,1,ER_ERR,0.342857,0.338249,-0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,12,2,1,ER_ERR,0.342857,0.346544,0.003687,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,13,2,1,ER_ERR,0.342857,0.346544,0.003687,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,14,2,1,ER_ERR,0.342857,0.352074,0.009217,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,15,2,1,ER_ERR,0.342857,0.340092,-0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,16,2,1,ER_ERR,0.342857,0.343779,0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,17,2,1,ER_ERR,0.342857,0.342857,0.0,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,18,2,1,ER_ERR,0.342857,0.339171,-0.003687,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,19,2,1,ER_ERR,0.342857,0.347465,0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,20,2,1,ER_ERR,0.342857,0.351152,0.008295,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,21,2,1,ER_ERR,0.342857,0.340092,-0.002765,quants_1024/GPTQ/quants_tc1024_er_fold1,15
hubertL,er,22,2,1,ER_ERR,0.342857,0.356682,0.013825,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,23,2,1,ER_ERR,0.342857,0.341935,-0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,16
hubertL,er,0,2,2,ER_ERR,0.340176,0.350929,0.010753,quants_1024/GPTQ/quants_tc1024_er_fold2,15
