backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
wavlmL,er,15,2,2,ER_ERR,0.328446,0.338221,0.009775,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,16,2,2,ER_ERR,0.328446,0.333333,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,17,2,2,ER_ERR,0.328446,0.340176,0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,24
wavlmL,er,18,2,2,ER_ERR,0.328446,0.337243,0.008798,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,19,2,2,ER_ERR,0.328446,0.330401,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,20,2,2,ER_ERR,0.328446,0.341153,0.012708,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,21,2,2,ER_ERR,0.328446,0.321603,-0.006843,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,22,2,2,ER_ERR,0.328446,0.347996,0.01955,quants_1024/GPTQ/quants_tc1024_er_fold2,26
wavlmL,er,23,2,2,ER_ERR,0.328446,0.328446,0.0,quants_1024/GPTQ/quants_tc1024_er_fold2,25
wavlmL,er,0,2,3,ER_ERR,0.325804,0.32841,0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,1,2,3,ER_ERR,0.325804,0.330148,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,2,2,3,ER_ERR,0.325804,0.327541,0.001738,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,3,2,3,ER_ERR,0.325804,0.326672,0.000869,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,4,2,3,ER_ERR,0.325804,0.331885,0.006082,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,5,2,3,ER_ERR,0.325804,0.324935,-0.000869,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,6,2,3,ER_ERR,0.325804,0.329279,0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,7,2,3,ER_ERR,0.325804,0.318853,-0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,8,2,3,ER_ERR,0.325804,0.337098,0.011295,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,9,2,3,ER_ERR,0.325804,0.334492,0.008688,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,10,2,3,ER_ERR,0.325804,0.330148,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,11,2,3,ER_ERR,0.325804,0.334492,0.008688,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,12,2,3,ER_ERR,0.325804,0.323197,-0.002606,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,13,2,3,ER_ERR,0.325804,0.332754,0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,14,2,3,ER_ERR,0.325804,0.335361,0.009557,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,15,2,3,ER_ERR,0.325804,0.331885,0.006082,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,16,2,3,ER_ERR,0.325804,0.332754,0.00695,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,17,2,3,ER_ERR,0.325804,0.326672,0.000869,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,18,2,3,ER_ERR,0.325804,0.340573,0.01477,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,19,2,3,ER_ERR,0.325804,0.333623,0.007819,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,20,2,3,ER_ERR,0.325804,0.335361,0.009557,quants_1024/GPTQ/quants_tc1024_er_fold3,25
wavlmL,er,21,2,3,ER_ERR,0.325804,0.333623,0.007819,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,22,2,3,ER_ERR,0.325804,0.333623,0.007819,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,23,2,3,ER_ERR,0.325804,0.325804,0.0,quants_1024/GPTQ/quants_tc1024_er_fold3,26
wavlmL,er,0,2,4,ER_ERR,0.294859,0.300679,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,1,2,4,ER_ERR,0.294859,0.298739,0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,2,2,4,ER_ERR,0.294859,0.303589,0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,3,2,4,ER_ERR,0.294859,0.303589,0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,4,2,4,ER_ERR,0.294859,0.302619,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,5,2,4,ER_ERR,0.294859,0.299709,0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,6,2,4,ER_ERR,0.294859,0.298739,0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,7,2,4,ER_ERR,0.294859,0.303589,0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,8,2,4,ER_ERR,0.294859,0.304559,0.009699,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,9,2,4,ER_ERR,0.294859,0.302619,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,10,2,4,ER_ERR,0.294859,0.300679,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,11,2,4,ER_ERR,0.294859,0.302619,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,12,2,4,ER_ERR,0.294859,0.293889,-0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,13,2,4,ER_ERR,0.294859,0.29001,-0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,14,2,4,ER_ERR,0.294859,0.304559,0.009699,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,15,2,4,ER_ERR,0.294859,0.29098,-0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,16,2,4,ER_ERR,0.294859,0.292919,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,17,2,4,ER_ERR,0.294859,0.292919,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,18,2,4,ER_ERR,0.294859,0.297769,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,19,2,4,ER_ERR,0.294859,0.292919,-0.00194,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,20,2,4,ER_ERR,0.294859,0.316198,0.021339,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,21,2,4,ER_ERR,0.294859,0.313288,0.018429,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,22,2,4,ER_ERR,0.294859,0.315228,0.020369,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,23,2,4,ER_ERR,0.294859,0.294859,0.0,quants_1024/GPTQ/quants_tc1024_er_fold4,23
wavlmL,er,0,2,5,ER_ERR,0.327156,0.335214,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,1,2,5,ER_ERR,0.327156,0.33199,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,27
wavlmL,er,2,2,5,ER_ERR,0.327156,0.336825,0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,3,2,5,ER_ERR,0.327156,0.336825,0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,4,2,5,ER_ERR,0.327156,0.335214,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,5,2,5,ER_ERR,0.327156,0.33199,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,6,2,5,ER_ERR,0.327156,0.327961,0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,27
wavlmL,er,7,2,5,ER_ERR,0.327156,0.342466,0.01531,quants_1024/GPTQ/quants_tc1024_er_fold5,27
wavlmL,er,8,2,5,ER_ERR,0.327156,0.336019,0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,9,2,5,ER_ERR,0.327156,0.329573,0.002417,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,10,2,5,ER_ERR,0.327156,0.33199,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,11,2,5,ER_ERR,0.327156,0.334408,0.007252,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,12,2,5,ER_ERR,0.327156,0.336825,0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,13,2,5,ER_ERR,0.327156,0.335214,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,27
wavlmL,er,14,2,5,ER_ERR,0.327156,0.33199,0.004835,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,15,2,5,ER_ERR,0.327156,0.327961,0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,16,2,5,ER_ERR,0.327156,0.335214,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,27
wavlmL,er,17,2,5,ER_ERR,0.327156,0.338437,0.011281,quants_1024/GPTQ/quants_tc1024_er_fold5,27
wavlmL,er,18,2,5,ER_ERR,0.327156,0.336019,0.008864,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,19,2,5,ER_ERR,0.327156,0.331185,0.004029,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,20,2,5,ER_ERR,0.327156,0.323127,-0.004029,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,21,2,5,ER_ERR,0.327156,0.32635,-0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,22,2,5,ER_ERR,0.327156,0.329573,0.002417,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,er,23,2,5,ER_ERR,0.327156,0.327961,0.000806,quants_1024/GPTQ/quants_tc1024_er_fold5,28
wavlmL,asv,0,2,0,EER,0.053765,0.054348,0.000583,quants_1024/GPTQ/quants_tc1024_asv,126
wavlmL,asv,1,2,0,EER,0.053765,0.055196,0.001432,quants_1024/GPTQ/quants_tc1024_asv,126
wavlmL,asv,2,2,0,EER,0.053765,0.055461,0.001697,quants_1024/GPTQ/quants_tc1024_asv,126
wavlmL,asv,3,2,0,EER,0.053765,0.054295,0.00053,quants_1024/GPTQ/quants_tc1024_asv,127
wavlmL,asv,4,2,0,EER,0.053765,0.057052,0.003287,quants_1024/GPTQ/quants_tc1024_asv,126
wavlmL,asv,5,2,0,EER,0.053765,0.056363,0.002598,quants_1024/GPTQ/quants_tc1024_asv,127
